time,lap
675715,6.000000
675765,6.000000
675865,6.000000
675982,6.000000
676049,6.000000
676099,6.000000
676149,6.000000
676215,6.000000
676265,6.000000
676315,6.000000
676365,6.000000
676482,6.000000
676532,6.000000
676582,6.000000
676649,6.000000
676699,6.000000
676749,6.000000
676799,6.000000
676849,6.000000
676966,6.000000
677033,6.000000
677133,6.000000
677183,6.000000
677233,6.000000
677300,6.000000
677350,6.000000
677400,6.000000
677450,6.000000
677500,6.000000
677566,6.000000
677616,6.000000
677683,6.000000
677733,6.000000
677900,6.000000
677950,6.000000
678018,6.000000
678052,6.000000
678117,6.000000
678167,6.000000
678234,6.000000
678283,6.000000
678400,6.000000
678450,6.000000
678500,6.000000
678567,6.000000
678617,6.000000
678667,6.000000
678734,6.000000
678785,6.000000
678834,6.000000
678884,6.000000
678934,6.000000
678984,6.000000
679051,6.000000
679101,6.000000
679167,6.000000
679217,6.000000
679268,6.000000
679334,6.000000
679384,6.000000
679438,6.000000
679501,6.000000
679551,6.000000
679651,6.000000
679701,6.000000
679768,6.000000
679818,6.000000
679885,6.000000
679935,6.000000
679985,6.000000
680052,6.000000
680102,6.000000
680152,6.000000
680219,6.000000
680269,6.000000
680335,6.000000
680385,6.000000
680502,6.000000
680552,6.000000
680602,6.000000
680652,6.000000
680719,6.000000
680769,6.000000
680886,6.000000
680936,6.000000
681003,6.000000
681053,6.000000
681119,6.000000
681170,6.000000
681220,6.000000
681286,6.000000
681336,6.000000
681386,6.000000
681503,6.000000
681554,6.000000
681603,6.000000
681670,6.000000
681720,6.000000
681787,6.000000
681837,6.000000
681954,6.000000
682020,6.000000
682070,6.000000
682137,6.000000
682187,6.000000
682254,6.000000
682293,6.000000
682354,6.000000
682404,6.000000
682471,6.000000
682520,6.000000
682571,6.000000
682637,6.000000
682687,6.000000
682738,6.000000
682788,6.000000
682838,6.000000
682895,6.000000
683004,6.000000
683121,6.000000
683171,6.000000
683221,6.000000
683288,6.000000
683338,6.000000
683388,6.000000
683505,6.000000
683555,6.000000
683655,6.000000
683722,6.000000
683772,6.000000
683822,6.000000
683872,6.000000
683988,6.000000
684039,6.000000
684105,6.000000
684155,6.000000
684272,6.000000
684389,6.000000
684506,6.000000
684556,6.000000
684606,6.000000
684656,6.000000
684723,6.000000
684773,6.000000
684839,6.000000
684889,6.000000
685006,6.000000
685056,6.000000
685156,6.000000
685223,6.000000
685273,6.000000
685373,6.000000
685423,6.000000
685523,6.000000
685640,6.000000
685706,6.000000
685756,6.000000
685807,6.000000
685873,6.000000
685923,6.000000
685990,6.000000
686040,6.000000
686090,6.000000
686140,6.000000
686207,6.000000
686257,6.000000
686323,6.000000
686373,6.000000
686490,6.000000
686525,6.000000
686590,6.000000
686640,6.000000
686707,6.000000
686757,6.000000
686818,6.000000
686874,6.000000
686991,6.000000
687041,6.000000
687108,6.000000
687208,6.000000
687274,6.000000
687309,6.000000
687474,6.000000
687541,6.000000
687591,6.000000
687658,6.000000
687708,6.000000
687775,6.000000
687825,6.000000
687991,6.000000
688041,6.000000
688092,6.000000
688158,6.000000
688208,6.000000
688275,6.000000
688325,6.000000
688392,6.000000
688492,6.000000
688559,6.000000
688593,6.000000
688659,6.000000
688709,6.000000
688759,6.000000
688809,6.000000
688859,6.000000
688926,6.000000
688976,6.000000
689026,6.000000
689076,6.000000
689126,6.000000
689193,6.000000
689243,6.000000
689310,6.000000
689426,6.000000
689476,6.000000
689533,6.000000
689593,6.000000
689643,6.000000
689693,6.000000
689761,6.000000
689860,6.000000
689910,6.000000
689977,6.000000
690060,6.000000
690127,6.000000
690177,6.000000
690227,6.000000
690270,6.000000
690344,6.000000
690394,6.000000
690461,6.000000
690511,6.000000
690561,6.000000
690627,6.000000
690678,6.000000
690744,6.000000
690794,6.000000
690861,6.000000
690911,6.000000
691012,6.000000
691061,6.000000
691128,6.000000
691162,6.000000
691228,6.000000
691278,6.000000
691345,6.000000
691395,6.000000
691495,6.000000
691546,6.000000
691612,6.000000
691662,6.000000
691728,6.000000
691779,6.000000
691829,6.000000
691895,6.000000
692012,6.000000
692062,6.000000
692129,6.000000
692180,6.000000
692229,6.000000
692296,6.000000
692346,6.000000
692396,6.000000
692496,6.000000
692546,6.000000
692613,6.000000
692663,6.000000
692713,6.000000
692829,6.000000
692880,6.000000
692930,6.000000
692980,6.000000
693046,6.000000
693096,6.000000
693163,6.000000
693213,6.000000
693330,6.000000
693380,6.000000
693430,6.000000
693480,6.000000
693547,6.000000
693597,6.000000
693647,6.000000
693747,6.000000
693814,6.000000
693864,6.000000
693914,6.000000
693964,6.000000
694031,6.000000
694081,6.000000
694132,6.000000
694181,6.000000
694231,6.000000
694297,6.000000
694347,6.000000
694398,6.000000
694514,6.000000
694564,6.000000
694631,6.000000
694681,6.000000
694748,6.000000
694798,6.000000
694864,6.000000
694914,6.000000
695014,6.000000
695181,6.000000
695216,6.000000
695281,6.000000
695331,6.000000
695431,6.000000
695498,6.000000
695548,6.000000
695665,6.000000
695732,6.000000
695782,6.000000
695848,6.000000
695898,6.000000
696015,6.000000
696065,6.000000
696132,6.000000
696182,6.000000
696299,6.000000
696399,6.000000
696516,6.000000
696582,6.000000
696733,6.000000
696782,6.000000
696849,6.000000
696899,6.000000
697016,6.000000
697066,6.000000
697133,6.000000
697183,6.000000
697250,6.000000
697300,6.000000
697351,6.000000
697416,6.000000
697533,6.000000
697633,6.000000
697700,6.000000
697750,6.000000
697800,6.000000
697867,6.000000
697917,6.000000
698034,6.000000
698083,6.000000
698150,6.000000
698201,6.000000
698267,6.000000
698317,6.000000
698367,6.000000
698535,6.000000
698584,6.000000
698634,6.000000
698684,6.000000
698734,6.000000
698784,6.000000
698834,6.000000
698901,6.000000
698951,6.000000
699018,6.000000
699068,6.000000
699134,6.000000
699185,6.000000
699235,6.000000
699301,6.000000
699401,6.000000
699519,6.000000
699552,6.000000
699602,6.000000
699669,6.000000
699708,6.000000
699768,6.000000
699818,6.000000
699935,6.000000
699985,6.000000
700102,6.000000
700152,6.000000
700219,6.000000
700269,6.000000
700335,6.000000
700385,6.000000
700502,6.000000
700569,6.000000
700686,6.000000
700736,6.000000
700802,6.000000
700852,6.000000
700919,6.000000
700969,6.000000
701036,6.000000
701086,6.000000
701153,6.000000
701203,6.000000
701270,6.000000
701320,6.000000
701386,6.000000
701436,6.000000
701503,6.000000
701553,6.000000
701620,6.000000
701670,6.000000
701720,6.000000
701787,6.000000
701837,6.000000
701888,6.000000
702003,6.000000
702054,6.000000
702120,6.000000
702170,6.000000
702221,6.000000
702287,6.000000
702337,6.000000
702404,6.000000
702521,6.000000
702571,6.000000
702637,6.000000
702687,6.000000
702738,6.000000
702788,6.000000
702854,6.000000
702904,6.000000
703021,6.000000
703071,6.000000
703138,6.000000
703188,6.000000
703238,6.000000
703304,6.000000
703355,6.000000
703421,6.000000
703538,6.000000
703588,6.000000
703655,6.000000
703705,6.000000
703755,6.000000
703823,6.000000
703872,6.000000
703938,6.000000
704038,6.000000
704155,6.000000
704272,6.000000
704306,6.000000
704372,6.000000
704422,6.000000
704539,6.000000
704655,6.000000
704706,6.000000
704756,6.000000
704806,6.000000
704872,6.000000
704922,6.000000
705039,6.000000
705106,6.000000
705156,6.000000
705206,6.000000
705306,6.000000
705373,6.000000
705423,6.000000
705539,6.000000
705589,6.000000
705656,6.000000
705706,6.000000
705756,6.000000
705806,6.000000
705856,6.000000
705908,6.000000
705957,6.000000
706074,6.000000
706123,6.000000
706190,6.000000
706240,6.000000
706308,6.000000
706407,6.000000
706457,6.000000
706523,6.000000
706574,6.000000
706640,6.000000
706690,6.000000
706740,6.000000
706807,6.000000
706907,6.000000
706974,6.000000
707074,6.000000
707141,6.000000
707191,6.000000
707241,6.000000
707308,6.000000
707355,6.000000
707424,6.000000
707474,6.000000
707591,6.000000
707641,6.000000
707691,6.000000
707741,6.000000
707808,6.000000
707908,6.000000
707958,6.000000
708076,6.000000
708102,6.000000
708175,6.000000
708225,6.000000
708275,6.000000
708342,6.000000
708392,6.000000
708442,6.000000
708492,6.000000
708559,6.000000
708609,6.000000
708675,6.000000
708726,6.000000
708792,6.000000
708842,6.000000
708909,6.000000
709060,6.000000
709109,6.000000
709159,6.000000
709226,6.000000
709276,6.000000
709343,6.000000
709393,6.000000
709459,6.000000
709509,6.000000
709559,6.000000
709609,6.000000
709660,6.000000
709710,6.000000
709810,6.000000
709860,6.000000
709921,6.000000
709976,6.000000
710076,6.000000
710143,6.000000
710193,6.000000
710243,6.000000
710310,6.000000
710360,6.000000
710410,6.000000
710477,6.000000
710577,6.000000
710627,6.000000
710694,6.000000
710744,6.000000
710794,6.000000
710860,6.000000
710945,6.000000
711111,6.000000
711169,6.000000
711211,6.000000
711277,6.000000
711327,6.000000
711377,6.000000
711444,6.000000
711561,6.000000
711611,6.000000
711661,6.000000
711711,6.000000
711761,6.000000
711828,6.000000
711928,6.000000
711978,6.000000
712162,6.000000
712212,6.000000
712278,6.000000
712313,6.000000
712378,6.000000
712479,6.000000
712595,6.000000
712646,6.000000
712695,6.000000
712746,6.000000
712812,6.000000
712862,6.000000
712916,6.000000
712962,6.000000
713079,6.000000
713139,6.000000
713196,6.000000
713246,6.000000
713313,6.000000
713363,6.000000
713430,6.000000
713480,6.000000
713580,6.000000
713646,6.000000
713697,6.000000
713763,6.000000
713813,6.000000
713865,6.000000
713930,6.000000
713980,6.000000
714073,6.000000
714147,6.000000
714197,6.000000
714247,6.000000
714297,6.000000
714364,6.000000
714414,6.000000
714464,6.000000
714514,6.000000
714582,6.000000
714665,6.000000
714716,6.000000
714781,6.000000
714831,6.000000
714897,6.000000
714947,6.000000
715064,6.000000
715114,6.000000
715164,6.000000
715231,6.000000
715281,6.000000
715331,6.000000
715448,6.000000
715565,6.000000
715615,6.000000
715681,6.000000
715731,6.000000
715798,6.000000
715848,6.000000
715915,6.000000
715965,6.000000
716015,6.000000
716068,6.000000
716131,6.000000
716181,6.000000
716240,6.000000
716348,6.000000
716448,6.000000
716565,6.000000
716615,6.000000
716665,6.000000
716715,6.000000
716773,6.000000
716882,6.000000
716932,6.000000
716982,6.000000
717049,6.000000
717166,6.000000
717215,6.000000
717265,6.000000
717315,6.000000
717365,6.000000
717432,6.000000
717549,6.000000
717599,6.000000
717665,6.000000
717716,6.000000
717766,6.000000
717819,6.000000
717867,6.000000
717933,6.000000
717983,6.000000
718049,6.000000
718099,6.000000
718149,6.000000
718199,6.000000
718266,6.000000
718316,6.000000
718383,6.000000
718433,6.000000
718550,6.000000
718600,6.000000
718666,6.000000
718717,6.000000
718783,6.000000
718819,6.000000
718883,6.000000
718933,6.000000
718983,6.000000
719100,6.000000
719150,6.000000
719218,6.000000
719267,6.000000
719334,6.000000
719384,6.000000
719484,6.000000
719601,6.000000
719667,6.000000
719717,6.000000
719784,6.000000
719817,6.000000
719884,6.000000
719934,6.000000
720001,6.000000
720051,6.000000
720104,6.000000
720168,6.000000
720218,6.000000
720285,6.000000
720335,6.000000
720401,6.000000
720503,6.000000
720551,6.000000
720602,6.000000
720668,6.000000
720718,6.000000
720785,6.000000
720835,6.000000
720885,6.000000
720941,6.000000
721002,6.000000
721102,6.000000
721169,6.000000
721219,6.000000
721269,6.000000
721335,6.000000
721436,6.000000
721486,6.000000
721536,6.000000
721636,6.000000
721693,6.000000
721753,6.000000
721853,6.000000
721919,6.000000
721969,6.000000
722086,6.000000
722136,6.000000
722204,6.000000
722303,6.000000
722353,6.000000
722420,6.000000
722470,6.000000
722536,6.000000
722636,6.000000
722686,6.000000
722753,6.000000
722793,6.000000
722853,6.000000
722896,6.000000
722953,6.000000
723020,6.000000
723137,6.000000
723187,6.000000
723253,6.000000
723303,6.000000
723370,6.000000
723487,6.000000
723587,6.000000
723637,6.000000
723687,6.000000
723737,6.000000
723804,6.000000
723854,6.000000
723904,6.000000
723955,6.000000
724021,6.000000
724138,6.000000
724188,6.000000
724254,6.000000
724304,6.000000
724421,6.000000
724471,6.000000
724621,6.000000
724688,6.000000
724788,6.000000
724838,6.000000
724905,6.000000
725022,6.000000
725138,6.000000
725188,6.000000
725238,6.000000
725305,6.000000
725355,6.000000
725472,6.000000
725539,6.000000
725706,6.000000
725756,6.000000
725822,6.000000
725872,6.000000
725973,6.000000
726039,6.000000
726089,6.000000
726156,6.000000
726206,6.000000
726323,6.000000
726373,6.000000
726440,6.000000
726490,6.000000
726606,6.000000
726656,6.000000
726706,6.000000
726756,6.000000
726807,6.000000
726856,6.000000
726923,6.000000
726973,6.000000
727023,6.000000
727124,6.000000
727190,6.000000
727240,6.000000
727290,6.000000
727340,6.000000
727441,6.000000
727507,6.000000
727557,6.000000
727674,6.000000
727724,6.000000
727791,6.000000
727841,6.000000
727908,6.000000
728024,6.000000
728074,6.000000
728141,6.000000
728191,6.000000
728291,6.000000
728358,6.000000
728408,6.000000
728458,6.000000
728524,6.000000
728575,6.000000
728641,6.000000
728692,6.000000
728758,6.000000
728808,6.000000
728925,6.000000
728975,6.000000
729025,6.000000
729092,6.000000
729142,6.000000
729208,6.000000
729258,6.000000
729309,6.000000
729375,6.000000
729425,6.000000
729492,6.000000
729542,6.000000
729659,6.000000
729709,6.000000
729775,6.000000
729825,6.000000
729892,6.000000
729942,6.000000
729992,6.000000
730042,6.000000
730159,6.000000
730226,6.000000
730276,6.000000
730326,6.000000
730392,6.000000
730493,6.000000
730543,6.000000
730659,6.000000
730760,6.000000
730810,6.000000
730876,6.000000
730926,6.000000
730977,6.000000
731027,6.000000
731093,6.000000
731128,6.000000
731193,6.000000
731310,6.000000
731360,6.000000
731427,6.000000
731477,6.000000
731527,6.000000
731644,6.000000
731694,6.000000
731760,6.000000
731812,6.000000
731860,6.000000
731927,6.000000
731977,6.000000
732044,6.000000
732161,6.000000
732211,6.000000
732261,6.000000
732311,6.000000
732361,6.000000
732528,6.000000
732578,6.000000
732694,6.000000
732728,6.000000
732794,6.000000
732844,6.000000
732911,6.000000
732961,6.000000
733011,6.000000
733128,6.000000
733178,6.000000
733245,6.000000
733295,6.000000
733362,6.000000
733395,6.000000
733462,6.000000
733512,6.000000
733562,6.000000
733662,6.000000
733729,6.000000
733779,6.000000
733829,6.000000
733895,6.000000
733945,6.000000
733996,6.000000
734062,6.000000
734112,6.000000
734179,6.000000
734229,6.000000
734279,6.000000
734346,6.000000
734396,6.000000
734496,6.000000
734613,6.000000
734663,6.000000
734729,6.000000
734830,6.000000
734930,6.000000
734996,6.000000
735113,6.000000
735163,6.000000
735214,6.000000
735263,6.000000
735313,6.000000
735363,6.000000
735430,6.000000
735480,6.000000
735530,6.000000
735647,6.000000
735714,6.000000
735764,6.000000
735814,6.000000
735864,6.000000
735914,6.000000
736031,6.000000
736081,6.000000
736198,6.000000
736248,6.000000
736297,6.000000
736348,6.000000
736397,6.000000
736464,6.000000
736514,6.000000
736581,6.000000
736698,6.000000
736748,6.000000
736798,6.000000
736848,6.000000
736898,6.000000
736965,6.000000
737015,6.000000
737132,6.000000
737181,6.000000
737231,6.000000
737298,6.000000
737348,6.000000
737465,6.000000
737515,6.000000
737665,6.000000
737732,6.000000
737782,6.000000
737849,6.000000
737948,6.000000
737998,6.000000
738115,6.000000
738215,6.000000
738265,6.000000
738382,6.000000
738482,6.000000
738533,6.000000
738716,6.000000
738832,6.000000
738883,6.000000
738932,6.000000
738983,6.000000
739032,6.000000
739150,6.000000
739200,6.000000
739266,6.000000
739316,6.000000
739366,6.000000
739416,6.000000
739483,6.000000
739533,6.000000
739601,6.000000
739685,6.000000
739750,6.000000
739800,6.000000
739850,6.000000
739917,6.000000
740017,6.000000
740134,6.000000
740184,6.000000
740250,6.000000
740300,6.000000
740367,6.000000
740417,6.000000
740484,6.000000
740534,6.000000
740601,6.000000
740702,6.000000
740767,6.000000
740817,6.000000
740867,6.000000
740917,6.000000
740984,6.000000
741034,6.000000
741101,6.000000
741151,6.000000
741218,6.000000
741268,6.000000
741318,6.000000
741384,6.000000
741435,6.000000
741485,6.000000
741535,6.000000
741652,6.000000
741702,6.000000
741752,6.000000
741802,6.000000
741868,6.000000
741918,6.000000
741969,6.000000
742035,6.000000
742085,6.000000
742135,6.000000
742202,6.000000
742252,6.000000
742302,6.000000
742353,6.000000
742419,6.000000
742469,6.000000
742536,6.000000
742586,6.000000
742703,6.000000
742820,6.000000
742866,6.000000
742919,6.000000
743019,6.000000
743120,6.000000
743170,6.000000
743220,6.000000
743286,6.000000
743336,6.000000
743386,6.000000
743454,6.000000
743553,6.000000
743670,6.000000
743720,6.000000
743770,6.000000
743887,6.000000
743937,6.000000
744004,6.000000
744054,6.000000
744121,6.000000
744154,6.000000
744220,6.000000
744270,6.000000
744337,6.000000
744387,6.000000
744437,6.000000
744487,6.000000
744554,6.000000
744671,6.000000
744770,6.000000
744838,6.000000
744888,6.000000
744938,6.000000
744988,6.000000
745038,6.000000
745104,6.000000
745221,6.000000
745271,6.000000
745338,6.000000
745388,6.000000
745455,6.000000
745504,6.000000
745621,6.000000
745671,6.000000
745721,6.000000
745788,6.000000
745838,6.000000
745888,6.000000
745938,6.000000
746005,6.000000
746105,6.000000
746222,6.000000
746272,6.000000
746322,6.000000
746372,6.000000
746422,6.000000
746489,6.000000
746539,6.000000
746589,6.000000
746639,6.000000
746705,6.000000
746756,6.000000
746806,6.000000
746856,6.000000
746922,6.000000
747022,6.000000
747089,6.000000
747131,6.000000
747206,6.000000
747256,6.000000
747316,6.000000
747356,6.000000
747422,6.000000
747539,6.000000
747639,6.000000
747689,6.000000
747739,6.000000
747806,6.000000
747856,6.000000
747923,6.000000
747973,6.000000
748040,6.000000
748090,6.000000
748191,6.000000
748256,6.000000
748306,6.000000
748356,6.000000
748423,6.000000
748473,6.000000
748533,6.000000
748640,6.000000
748690,6.000000
748757,6.000000
748807,6.000000
748857,6.000000
748924,6.000000
749040,6.000000
749157,6.000000
749207,6.000000
749257,6.000000
749307,6.000000
749357,6.000000
749416,6.000000
749474,6.000000
749524,6.000000
749591,6.000000
749641,6.000000
749707,6.000000
749757,6.000000
749808,6.000000
749859,6.000000
749908,6.000000
749975,6.000000
750024,6.000000
750083,6.000000
750125,6.000000
750191,6.000000
750291,6.000000
750341,6.000000
750391,6.000000
750458,6.000000
750508,6.000000
750608,6.000000
750725,6.000000
750792,6.000000
750842,6.000000
750908,6.000000
750958,6.000000
751025,6.000000
751125,6.000000
751175,6.000000
751242,6.000000
751292,6.000000
751409,6.000000
751459,6.000000
751510,6.000000
751576,6.000000
751626,6.000000
751742,6.000000
751792,6.000000
751843,6.000000
751909,6.000000
751959,6.000000
752026,6.000000
752076,6.000000
752126,6.000000
752193,6.000000
752243,6.000000
752309,6.000000
752359,6.000000
752426,6.000000
752476,6.000000
752543,6.000000
752593,6.000000
752643,6.000000
752710,6.000000
752760,6.000000
752810,6.000000
752876,6.000000
752926,6.000000
752977,6.000000
753043,6.000000
753210,6.000000
753260,6.000000
753327,6.000000
753377,6.000000
753444,6.000000
753544,6.000000
753610,6.000000
753660,6.000000
753727,6.000000
753777,6.000000
753894,6.000000
753944,6.000000
754045,6.000000
754111,6.000000
754161,6.000000
754278,6.000000
754328,6.000000
754394,6.000000
754444,6.000000
754511,6.000000
754628,6.000000
754745,6.000000
754795,6.000000
754845,6.000000
754912,6.000000
754961,6.000000
755028,6.000000
755145,6.000000
755262,6.000000
755296,6.000000
755362,6.000000
755412,6.000000
755462,6.000000
755512,6.000000
755579,6.000000
755629,6.000000
755695,6.000000
755746,6.000000
755796,6.000000
755846,6.000000
755912,6.000000
755962,6.000000
756029,6.000000
756079,6.000000
756146,6.000000
756196,6.000000
756246,6.000000
756296,6.000000
756346,6.000000
756413,6.000000
756463,6.000000
756613,6.000000
756679,6.000000
756730,6.000000
756780,6.000000
756830,6.000000
756896,6.000000
756946,6.000000
757013,6.000000
757063,6.000000
757113,6.000000
757230,6.000000
757347,6.000000
757397,6.000000
757463,6.000000
757498,6.000000
757563,6.000000
757614,6.000000
757730,6.000000
757780,6.000000
757830,6.000000
757880,6.000000
757930,6.000000
757980,6.000000
758047,6.000000
758147,6.000000
758214,6.000000
758264,6.000000
758331,6.000000
758381,6.000000
758448,6.000000
758481,6.000000
758531,6.000000
758598,6.000000
758648,6.000000
758748,6.000000
758815,6.000000
758865,6.000000
758981,6.000000
759082,6.000000
759148,6.000000
759198,6.000000
759265,6.000000
759315,6.000000
759366,6.000000
759432,6.000000
759482,6.000000
759549,6.000000
759599,6.000000
759666,6.000000
759716,6.000000
759766,6.000000
759816,6.000000
759882,6.000000
759932,6.000000
759982,6.000000
760049,6.000000
760149,6.000000
760216,6.000000
760266,6.000000
760333,6.000000
760383,6.000000
760450,6.000000
760500,6.000000
760550,6.000000
760733,6.000000
760783,6.000000
760833,6.000000
760883,6.000000
760933,6.000000
760984,6.000000
761050,6.000000
761150,6.000000
761267,6.000000
761317,6.000000
761367,6.000000
761418,6.000000
761484,6.000000
761584,6.000000
761634,6.000000
761684,6.000000
761734,6.000000
761784,6.000000
761851,6.000000
761901,6.000000
761951,6.000000
762001,6.000000
762068,6.000000
762118,6.000000
762184,6.000000
762235,6.000000
762301,6.000000
762351,6.000000
762401,6.000000
762468,6.000000
762518,6.000000
762585,6.000000
762635,6.000000
762685,6.000000
762751,6.000000
762801,6.000000
762851,6.000000
762902,6.000000
762945,6.000000
763018,6.000000
763129,6.000000
763235,6.000000
763285,6.000000
763352,6.000000
763402,6.000000
763469,6.000000
763519,6.000000
763586,6.000000
763635,6.000000
763686,6.000000
763752,6.000000
763802,6.000000
763869,6.000000
763919,6.000000
763969,6.000000
764086,6.000000
764136,6.000000
764202,6.000000
764252,6.000000
764303,6.000000
764369,6.000000
764419,6.000000
764486,6.000000
764536,6.000000
764602,6.000000
764653,6.000000
764719,6.000000
764769,6.000000
764836,6.000000
764886,6.000000
764936,6.000000
765003,6.000000
765086,6.000000
765153,6.000000
765270,6.000000
765320,6.000000
765436,6.000000
765486,6.000000
765553,6.000000
765603,6.000000
765653,6.000000
765720,6.000000
765770,6.000000
765820,6.000000
765887,6.000000
766003,6.000000
766053,6.000000
766120,6.000000
766170,6.000000
766220,6.000000
766270,6.000000
766337,6.000000
766387,6.000000
766454,6.000000
766504,6.000000
766570,6.000000
766621,6.000000
766737,6.000000
766787,6.000000
766854,6.000000
766904,6.000000
766971,6.000000
767021,6.000000
767071,6.000000
767138,6.000000
767189,6.000000
767254,6.000000
767371,6.000000
767421,6.000000
767471,6.000000
767538,6.000000
767588,6.000000
767638,6.000000
767688,6.000000
767755,6.000000
767806,6.000000
767905,6.000000
767971,6.000000
768088,6.000000
768188,6.000000
768255,6.000000
768305,6.000000
768372,6.000000
768422,6.000000
768472,6.000000
768539,6.000000
768655,6.000000
768755,6.000000
768823,6.000000
768922,6.000000
768972,6.000000
769089,6.000000
769139,6.000000
769256,6.000000
769306,6.000000
769372,6.000000
769472,6.000000
769523,6.000000
769589,6.000000
769639,6.000000
769706,6.000000
769756,6.000000
769806,6.000000
769873,6.000000
769923,6.000000
769973,6.000000
770023,6.000000
770140,6.000000
770256,6.000000
770307,6.000000
770357,6.000000
770423,6.000000
770458,6.000000
770523,6.000000
770623,6.000000
770692,6.000000
770790,6.000000
770840,6.000000
770907,6.000000
770957,6.000000
771007,6.000000
771074,6.000000
771124,6.000000
771191,6.000000
771241,6.000000
771291,6.000000
771341,6.000000
771407,6.000000
771508,6.000000
771558,6.000000
771674,6.000000
771791,6.000000
771841,6.000000
771908,6.000000
772008,6.000000
772125,6.000000
772175,6.000000
772241,6.000000
772291,6.000000
772342,6.000000
772392,6.000000
772442,6.000000
772508,6.000000
772608,6.000000
772675,6.000000
772792,6.000000
772892,6.000000
772959,6.000000
773009,6.000000
773076,6.000000
773126,6.000000
773176,6.000000
773292,6.000000
773409,6.000000
773459,6.000000
773559,6.000000
773626,6.000000
773778,6.000000
773843,6.000000
773893,6.000000
773959,6.000000
774010,6.000000
774060,6.000000
774126,6.000000
774176,6.000000
774293,6.000000
774343,6.000000
774393,6.000000
774460,6.000000
774510,6.000000
774627,6.000000
774693,6.000000
774810,6.000000
774860,6.000000
774910,6.000000
774977,6.000000
